AÑO,GRUPO,NOMBRE
2012,Rectoría,Victor Cubillos Muñoz
2012,Cuerpos colegiados,Carlos Montt Gómez
2012,Cuerpos colegiados,Manuel Bueno Martínez
2012,Cuerpos colegiados,Félix Urcullú Molina
2012,Cuerpos colegiados,Eduardo Schild Bentjerodt
2012,Cuerpos colegiados,Eduardo Gantz Grob
2012,Cuerpos colegiados,Jorge Salazar Ruiz
2012,Cuerpos colegiados,Alejandro Acuña Hildebrandt
2012,Cuerpos colegiados,Carlos Porter Novoa
2012,Cuerpos colegiados,Tiglat Montecinos San Martín
2012,Cuerpos colegiados,Roberto Carrillo Llorente
2012,Cuerpos colegiados,Juan Carlos Bertoglio Cruzat
2012,Cuerpos colegiados,Juan Carlos Slebe Tajmuch
2012,Cuerpos colegiados,Fredy Ríos Martínez
2012,Cuerpos colegiados,Elías Carrasco Maira
2012,Cuerpos colegiados,Daniel Alomar Carrió
2012,Cuerpos colegiados,Fernando Medel Salamanca
2012,Cuerpos colegiados,Juan Omar Cofré Lagos
2012,Cuerpos colegiados,Oscar Galindo Villarroel
2012,Cuerpos colegiados,Agustín Quevedo Godoy
2012,Cuerpos colegiados,Renato Westermeier Hitschfeld
2012,Cuerpos colegiados,Javier Millar Silva
2012,Cuerpos colegiados,Claudio Flores Würth
2012,Cuerpos colegiados,Néstor Tadich Babaic
2012,Cuerpos colegiados,Rafael Burgos Aguilera
2012,Cuerpos colegiados,Yanko González Cangas
2012,Cuerpos colegiados,Juan Ricardo Fuentes Pérez
2012,Cuerpos colegiados,Mario Pino Quivira
2012,Cuerpos colegiados,Gonzalo Paredes Veloso
2012,Cuerpos colegiados,Víctor Sandoval Vásquez
2012,Cuerpos colegiados,Rogelio Moreno Muñoz
2012,Cuerpos colegiados,Juan Carlos Miranda Castillo
2012,Cuerpos colegiados,Susan Turner Saelzer
2012,Cuerpos colegiados,Germán Campos Pérez
2012,Cuerpos colegiados,Óscar Balocchi Leonelli
2012,Cuerpos colegiados,Jorge Toro Yagui
2012,Cuerpos colegiados,Alejandro Claude Retamal
2012,Cuerpos colegiados,Víctor Leyán Martínez
2012,Cuerpos colegiados,Rodrigo Momberg Uribe
2012,Cuerpos colegiados,Cristián Oñate Escobar
2012,Cuerpos colegiados,Bruno Burgos Vásquez
2012,Cuerpos colegiados,Claudio Henríquez Shirmer
2012,FEUACh,Pedro Ampuero
2012,FEUACh,Cari Álvarez
2012,FEUACh,Daniel Márquez
2013,Rectoría,Víctor Cubillos Godoy
2013,Cuerpos colegiados,Carlos Montt Gómez
2013,Cuerpos colegiados,Félix Urcullú Molina
2013,Cuerpos colegiados,Eduardo Schild Bentjerodt
2013,Cuerpos colegiados,Eduardo Gantz Grob
2013,Cuerpos colegiados,Jorge Salazar Ruiz
2013,Cuerpos colegiados,Alejandro Acuña Hildebrandt
2013,Cuerpos colegiados,Carlos Porter Novoa
2013,Cuerpos colegiados,Tiglat Montecinos San Martín
2013,Cuerpos colegiados,Pablo Hoffmann León
2013,Cuerpos colegiados,Roberto Carrillo Llorente
2013,Cuerpos colegiados,Francisco Luzzi Hörn
2013,Cuerpos colegiados,Fernando Soro Korn
2013,Cuerpos colegiados,Juan Carlos Bertoglio Cruzat
2013,Cuerpos colegiados,Juan Carlos Slebe Tajmuch
2013,Cuerpos colegiados,Fredy Ríos Martínez
2013,Cuerpos colegiados,Elías Carrasco Maira
2013,Cuerpos colegiados,Sandra Bucarey Arriagada
2013,Cuerpos colegiados,Fernando Muñoz Léon
2013,Cuerpos colegiados,Daniel Alomar Carrió
2013,Cuerpos colegiados,Fernando Medel Salamanca
2013,Cuerpos colegiados,Ricardo Riegel Schlegel
2013,Cuerpos colegiados,Juan Omar Cofré Lagos
2013,Cuerpos colegiados,Oscar Galindo Villarroel
2013,Cuerpos colegiados,Agustín Quevedo Godoy
2013,Cuerpos colegiados,Renato Westermeier Hitschfeld
2013,Cuerpos colegiados,Javier Millar Silva
2013,Cuerpos colegiados,Claudio Flores Würth
2013,Cuerpos colegiados,Rafael Burgos Aguilera
2013,Cuerpos colegiados,Yanko González Cangas
2013,Cuerpos colegiados,Juan Ricardo Fuentes Pérez
2013,Cuerpos colegiados,Mario Pino Quivira
2013,Cuerpos colegiados,Víctor Sandoval Vásquez
2013,Cuerpos colegiados,Rogelio Moreno Muñoz
2013,Cuerpos colegiados,Fredy Ríos Martínez
2013,Cuerpos colegiados,Juan Carlos Miranda Castillo
2013,Cuerpos colegiados,Jorge Díaz Castro
2013,Cuerpos colegiados,Susan Turner Saelzer
2013,Cuerpos colegiados,Andrés Bordalí Salamanca
2013,Cuerpos colegiados,Germán Campos Pérez
2013,Cuerpos colegiados,Óscar Balocchi Leonelli
2013,Cuerpos colegiados,Jorge Toro Yagui
2013,Cuerpos colegiados,Alejandro Claude Retamal
2013,Cuerpos colegiados,Víctor Leyán Martínez
2013,Cuerpos colegiados,Rodrigo Momberg Uribe
2013,Cuerpos colegiados,Sergio Ballesteros Ugalde
2013,Cuerpos colegiados,Daniel Velásquez Solano
2013,Cuerpos colegiados,Claudio Henríquez Shirmer
2013,FEUACh,Luís Díaz Aravena
2013,FEUACh,Daniel Guacte Salinas
2013,FEUACh,Camila Flores Rivera
2013,FEUACh,José Cárdenas Zunino
2013,FEUACh,Exequiel Novoa Padilla
2014,Rectoría,Víctor Cubillos Godoy
2014,Cuerpos colegiados,Carlos Montt Gómez
2014,Cuerpos colegiados,Félix Urcullú Molina
2014,Cuerpos colegiados,Eduardo Schild Bentjerodt
2014,Cuerpos colegiados,Eduardo Gantz Grob
2014,Cuerpos colegiados,Jorge Salazar Ruiz
2014,Cuerpos colegiados,Carlos Porter Novoa
2014,Cuerpos colegiados,Tiglat Montecinos San Martín
2014,Cuerpos colegiados,Pablo Hoffmann León
2014,Cuerpos colegiados,Francisco Luzzi Hörn
2014,Cuerpos colegiados,Fernando Soro Korn
2014,Cuerpos colegiados,Juan Carlos Slebe Tajmuch
2014,Cuerpos colegiados,Sandra Bucarey Arriagada
2014,Cuerpos colegiados,Juan Carlos Bertoglio Cruzat
2014,Cuerpos colegiados,Fernando Muñoz Léon
2014,Cuerpos colegiados,Ricardo Riegel Schlegel
2014,Cuerpos colegiados,Elías Carrasco Maira
2014,Cuerpos colegiados,Oscar Galindo Villarroel
2014,Cuerpos colegiados,Ilona Concha Grabinger
2014,Cuerpos colegiados,Mario Calvo Gil
2014,Cuerpos colegiados,Hernán Poblete Wilson
2014,Cuerpos colegiados,Néstor Tadich Babaic
2014,Cuerpos colegiados,Agustín Quevedo Godoy
2014,Cuerpos colegiados,Renato Westermeier Hitschfeld
2014,Cuerpos colegiados,Javier Millar Silva
2014,Cuerpos colegiados,María Asunción de la Barra S.
2014,Cuerpos colegiados,Claudio Flores Würth
2014,Cuerpos colegiados,Rafael Burgos Aguilera
2014,Cuerpos colegiados,Yanko González Cangas
2014,Cuerpos colegiados,Juan Ricardo Fuentes Pérez
2014,Cuerpos colegiados,Rodrigo Echeverría Pezoa
2014,Cuerpos colegiados,Víctor Sandoval Vásquez
2014,Cuerpos colegiados,Mario Pino Quivira
2014,Cuerpos colegiados,Carlos Bertrán Vives
2014,Cuerpos colegiados,Fredy Ríos Martínez
2014,Cuerpos colegiados,Jorge Díaz Castro
2014,Cuerpos colegiados,Andrés Bordalí Salamanca
2014,Cuerpos colegiados,Roberto Martínez Kraushaar
2014,Cuerpos colegiados,Germán Campos Pérez
2014,Cuerpos colegiados,Óscar Balocchi Leonelli
2014,Cuerpos colegiados,Jorge Toro Yagui
2014,Cuerpos colegiados,Roberto Nespolo Rossi
2014,Cuerpos colegiados,Carlos Figueroa Valverde
2014,Cuerpos colegiados,Ana Farías Molina
2014,Cuerpos colegiados,Víctor Leyán Martínez
2014,Cuerpos colegiados,Alejandro Claude Retamal
2014,Cuerpos colegiados,Rodrigo Momberg Uribe
2014,Cuerpos colegiados,Claudia Letelier Velásquez
2014,Cuerpos colegiados,Daniel Velásquez Solano
2014,Cuerpos colegiados,Rodolfo Márquez Ossandón
2014,Cuerpos colegiados,Claudio Henríquez Shirmer
2014,Cuerpos colegiados,Jaime Herrera Paredes
2014,FEUACh,Ángel Andrés Delgado Cárdenas
2014,FEUACh,Fabiola Patricia Torres Gutiérrez
2014,FEUACh,Nicolás Roberto Matías Poblete Riesco
2014,FEUACh,Rodolfo Gabriel Márquez Ossandón
2014,FEUACh,Camila Paz Gallardo Gómez
2015,Rectoría,Oscar Galindo Villarroel
2015,Cuerpos colegiados,Carlos Montt Gómez
2015,Cuerpos colegiados,Félix Urcullú Molina
2015,Cuerpos colegiados,Eduardo Schild Bentjerodt
2015,Cuerpos colegiados,Eduardo Gantz Grob
2015,Cuerpos colegiados,Jorge Salazar Ruiz
2015,Cuerpos colegiados,Tiglat Montecinos San Martín
2015,Cuerpos colegiados,Pablo Hoffmann León
2015,Cuerpos colegiados,Fernando Soro Korn
2015,Cuerpos colegiados,Francisco Luzzi Hörn
2015,Cuerpos colegiados,Carlos Porter Novoa
2015,Cuerpos colegiados,Juan Carlos Slebe Tajmuch
2015,Cuerpos colegiados,Sandra Bucarey Arriagada
2015,Cuerpos colegiados,Fernando Muñoz Léon
2015,Cuerpos colegiados,Ricardo Riegel Schlegel
2015,Cuerpos colegiados,Elías Carrasco Maira
2015,Cuerpos colegiados,Mario Calvo Gil
2015,Cuerpos colegiados,Néstor Tadich Babaic
2015,Cuerpos colegiados,Agustín Quevedo Godoy
2015,Cuerpos colegiados,Cesar Pino Soto
2015,Cuerpos colegiados,Renato Westermeier Hitschfeld
2015,Cuerpos colegiados,María Asunción de la Barra S.
2015,Cuerpos colegiados,Claudio Flores Würth
2015,Cuerpos colegiados,Rafael Burgos Aguilera
2015,Cuerpos colegiados,Rubén Pulido Fuenzalida
2015,Cuerpos colegiados,Rodrigo Echeverría Pezoa
2015,Cuerpos colegiados,Yanko González Cangas
2015,Cuerpos colegiados,Víctor Sandoval Vásquez
2015,Cuerpos colegiados,Andrés Iroumé Arrau
2015,Cuerpos colegiados,Carlos Bertrán Vives
2015,Cuerpos colegiados,Fredy Ríos Martínez
2015,Cuerpos colegiados,Jorge Díaz Castro
2015,Cuerpos colegiados,Andrés Bordalí Salamanca
